numeral;form;year;century;homogenious_parts;pair_numerals;definiteness;adjectives
dva;anim;1934;XX;no;no;high;yes
dva;anim;1933;XX;no;no;medium;no
dva;anim;1932;XX;no;no;high;yes
dva;anim;1932;XX;no;no;high;no
dva;anim;1932;XX;no;no;high;no
dva;anim;1930;XX;no;no;high;yes
dva;anim;1930;XX;no;no;high;no
dva;anim;1930;XX;no;no;high;no
dva;anim;1929;XX;no;no;medium;no
dva;anim;1929;XX;yes_anim;no;high;no
dva;anim;1929;XX;yes_anim;no;medium;no
dva;anim;1929;XX;yes_anim;no;medium;no
dva;anim;1929;XX;no;no;medium;no
dva;anim;1928;XX;no;no;high;no
dva;anim;1928;XX;no;no;high;yes
dva;anim;1928;XX;no;yes;low;no
dva;anim;1928;XX;no;no;high;no
dva;anim;1927;XX;no;no;high;no
dva;anim;1927;XX;no;no;high;no
dva;anim;1927;XX;no;no;high;no
dva;anim;1926;XX;no;no;high;no
dva;anim;1926;XX;yes_anim;no;high;no
dva;anim;1925;XX;no;no;high;no
dva;anim;1925;XX;no;no;high;yes
dva;anim;1925;XX;yes_inanim;no;high;no
dva;anim;1924;XX;no;no;high;no
dva;anim;1924;XX;yes_anim;no;high;no
dva;anim;1924;XX;yes_anim;no;high;yes
dva;anim;1924;XX;no;no;high;no
dva;anim;1924;XX;no;no;high;no
dva;anim;1924;XX;no;no;high;no
dva;anim;1924;XX;no;no;high;no
dva;anim;1924;XX;no;no;medium;no
dva;anim;1923;XX;no;no;high;no
dva;anim;1923;XX;no;no;high;no
dva;anim;1923;XX;no;no;high;no
dva;anim;1922;XX;no;no;high;no
dva;anim;1921;XX;yes_inanim;no;high;yes
dva;anim;1921;XX;no;no;high;yes
dva;anim;1921;XX;yes_anim;no;high;no
dva;anim;1921;XX;no;no;high;no
dva;anim;1921;XX;no;no;high;no
dva;anim;1921;XX;no;no;high;no
dva;anim;1919;XX;no;no;high;no
dva;anim;1919;XX;no;no;medium;no
dva;anim;1918;XX;no;no;medium;no
dva;anim;1917;XX;no;no;high;yes
dva;anim;1917;XX;no;no;high;no
dva;anim;1917;XX;no;no;high;yes
dva;anim;1917;XX;no;no;high;yes
dva;anim;1915;XX;no;no;high;no
dva;anim;1915;XX;yes_anim;no;high;no
dva;anim;1915;XX;no;no;high;no
dva;anim;1913;XX;yes_anim;no;medium;no
dva;anim;1913;XX;no;no;medium;no
dva;anim;1913;XX;yes_inanim;no;high;no
dva;anim;1912;XX;no;no;high;no
dva;anim;1911;XX;no;no;high;no
dva;anim;1911;XX;yes_anim;no;high;no
dva;anim;1911;XX;no;no;high;yes
dva;anim;1911;XX;yes_inanim;no;high;no
dva;anim;1911;XX;no;no;high;yes
dva;anim;1911;XX;yes_anim;no;high;no
dva;anim;1911;XX;no;no;high;yes
dva;anim;1910;XX;no;no;high;no
dva;anim;1910;XX;no;no;high;no
dva;anim;1910;XX;no;no;high;no
dva;anim;1909;XX;no;no;high;yes
dva;anim;1909;XX;no;no;high;yes
dva;anim;1908;XX;no;no;high;no
dva;anim;1908;XX;no;no;high;yes
dva;anim;1907;XX;no;no;high;no
dva;anim;1907;XX;no;no;high;yes
dva;anim;1906;XX;no;no;high;no
dva;anim;1903;XX;yes_inanim;no;high;no
dva;anim;1903;XX;yes_anim;no;high;no
dva;anim;1902;XX;no;no;high;no
dva;anim;1901;XX;no;no;high;no
dva;anim;1900;XX;no;no;high;no
dva;anim;1900;XX;yes_anim;no;high;no
dva;anim;1900;XX;yes_anim;no;high;no
dva;anim;1900;XX;no;no;high;no
dva;anim;1900;XX;no;no;high;no
dva;anim;1899;XIX;yes_anim;no;high;no
dva;anim;1899;XIX;no;no;high;no
dva;anim;1899;XIX;yes_anim;no;high;no
dva;anim;1899;XIX;no;no;high;no
dva;anim;1899;XIX;yes_anim;no;high;yes
dva;anim;1898;XIX;yes_inanim;no;medium;yes
dva;anim;1897;XIX;no;no;medium;no
dva;anim;1896;XIX;yes_anim;no;high;no
dva;anim;1896;XIX;no;no;high;no
dva;anim;1896;XIX;no;no;high;yes
dva;anim;1895;XIX;no;no;high;yes
dva;anim;1895;XIX;no;no;high;no
dva;anim;1895;XIX;no;no;high;no
dva;anim;1894;XIX;no;no;high;no
dva;anim;1894;XIX;no;no;high;yes
dva;anim;1894;XIX;no;no;high;no
dva;anim;1893;XIX;no;no;high;no
dva;anim;1893;XIX;no;no;high;no
dva;anim;1892;XIX;no;no;high;yes
dva;anim;1891;XIX;yes_anim;no;high;yes
dva;anim;1890;XIX;no;no;high;no
dva;anim;1889;XIX;yes_anim;no;high;no
dva;anim;1889;XIX;no;no;high;no
dva;anim;1889;XIX;no;no;high;no
dva;anim;1888;XIX;no;no;high;no
dva;anim;1888;XIX;no;no;high;no
dva;anim;1888;XIX;yes_anim;no;high;no
dva;anim;1888;XIX;yes_anim;no;high;no
dva;anim;1886;XIX;no;no;high;no
dva;anim;1885;XIX;no;no;high;yes
dva;anim;1883;XIX;no;no;high;no
dva;anim;1883;XIX;no;no;high;no
dva;anim;1883;XIX;no;no;medium;no
