time1	duration	time2	f2	f1	f3	vowel
11.6455	0.1383669416792106	11.7169	1349	709	2426	A
15.2993	0.04174078862060426	15.3148	1468	421	2359	y
15.4070	0.06606800985002614	15.4378	1462	542	2343	a
15.6094	0.1269678264015095	15.6620	1334	679	2166	A
15.8920	0.16493157193796293	15.9693	1314	805	2316	A
26.3869	0.07534330334982187	26.4241	1396	581	2346	a
26.5702	0.1166264534947814	26.6194	1373	750	2298	A
26.8186	0.10070517518424182	26.8624	1272	678	2148	A
27.0302	0.030252760566259695	27.0436	1489	547	2219	y
30.2946	0.06525530076413588	30.3209	1403	686	2334	a
30.4604	0.09285656031801892	30.4988	1342	698	2377	A
30.6793	0.10945390519039577	30.7328	1327	713	2202	A
30.8853	0.0416402004692884	30.9060	1517	565	2212	y
40.5883	0.0551541361677792	40.6155	1517	526	2155	a
40.8066	0.10439170782191809	40.8560	1360	666	2345	A
40.9896	0.037142302253869275	41.0073	1541	471	2267	y
41.1600	0.12480828099144503	41.2144	1319	668	2180	A
44.4181	0.05481820070235699	44.4434	1488	555	2144	a
44.6129	0.10671408863639442	44.6623	1363	783	2311	A
44.7922	0.03321579540004649	44.8068	1575	454	2194	y
44.9598	0.10903023463403372	45.0101	1347	662	2271	A
56.3784	0.10557004222328459	56.4226	1320	696	2232	A
56.5634	0.04390740491403733	56.5827	1474	465	2134	y
56.7218	0.06511245857252845	56.7504	1401	637	2316	a
56.8896	0.12347095710754274	56.9473	1292	645	2150	A
60.5278	0.09680455400441446	60.5713	1326	695	2262	A
60.7162	0.0390064548280975	60.7348	1480	453	2265	y
60.8727	0.062173808979466116	60.8953	1470	580	2323	a
61.0418	0.1151802423943522	61.0942	1275	662	2184	A
72.7432	0.06202958871219266	72.7710	1423	548	2187	a
72.9141	0.10146606948410408	72.9599	1373	759	2198	A
73.1305	0.03371681199732279	73.1483	1577	452	2092	y
73.2453	0.055773547894020226	73.2731	1476	563	2250	a
76.4834	0.06813450598939141	76.5168	1350	650	2182	a
76.6605	0.09599690266512084	76.6990	1357	683	2126	A
76.8695	0.0385489616803909	76.8891	1478	456	2295	y
77.0006	0.061472048282979586	77.0280	1475	602	2212	a
81.2407	0.058512293908719926	81.2685	1403	588	2095	a
81.4384	0.09757362552296911	81.4813	1328	753	2303	A
81.6150	0.06186844122169077	81.6396	1464	661	2330	a
81.8055	0.1283759732912273	81.8672	1293	715	2121	A
84.4344	0.059024951186017915	84.4621	1403	546	2219	a
84.6253	0.0953190647515072	84.6740	1345	768	2415	A
84.8093	0.044715377236840936	84.8277	1384	826	2348	a
85.0007	0.12151233051841359	85.0541	1329	650	2228	A
91.4631	0.02942143731391411	91.4785	1527	402	2310	y
91.5739	0.06122852047298011	91.6054	1486	557	2133	a
91.7544	0.1063978118494191	91.8022	1331	761	2414	A
92.0045	0.13354380585040815	92.0663	1300	721	2268	A
95.3270	0.0225331881333517	95.3364	1540	407	2358	y
95.4287	0.06338879072031034	95.4584	1504	586	2132	a
95.5862	0.09668344383868543	95.6337	1399	666	2038	A
95.8362	0.12266729540561983	95.8947	1257	710	2194	A
109.3706	0.09429263928771547	109.4186	1280	739	2190	A
109.5486	0.03357563915069761	109.5684	1540	447	2075	y
109.6906	0.03417900062682122	109.7060	1514	438	2304	y
109.8512	0.05842209094133466	109.8794	1449	523	2004	a
112.6056	0.08639298254307448	112.6453	1325	783	2213	A
112.7779	0.036774744308260665	112.7962	1516	494	2310	y
112.9124	0.039458877556882044	112.9338	1459	442	2083	y
113.0735	0.0756040307422694	113.1104	1462	527	1988	a
117.5869	0.09929214106881545	117.6336	1242	727	2202	A
117.7778	0.040200292541442195	117.7971	1405	467	2035	y
117.9536	0.030946519756597013	117.9690	1433	458	2174	y
118.1056	0.13509508241975254	118.1641	1264	705	2151	A
121.0520	0.09421028081841598	121.0937	1276	713	2219	A
121.2259	0.03523938936154991	121.2428	1457	436	2042	y
121.3966	0.05838738188876391	121.4224	1541	448	2229	y
121.5796	0.11360570070573317	121.6277	1272	796	2225	A
126.0310	0.09630139853710773	126.0817	1354	762	2203	A
126.2071	0.03669254520502818	126.2247	1537	479	2190	y
126.3353	0.04120387252656599	126.3515	1455	473	2026	y
126.4868	0.061469262295389626	126.5160	1443	557	2125	a
130.3415	0.10201483801031941	130.3891	1397	720	2234	A
130.5194	0.03038813497130377	130.5339	1524	487	2223	y
130.6460	0.0370129924407081	130.6639	1449	439	2040	y
130.7864	0.05606994447438751	130.8134	1454	526	2092	a
135.7292	0.06540102871986164	135.7586	1464	575	2273	a
135.8963	0.07195007017597277	135.9271	1373	726	2203	A
136.1154	0.05171854662197006	136.1374	1489	593	2189	a
136.2685	0.10474468220604649	136.3153	1309	656	2174	A
138.9843	0.060639887583619156	139.0132	1394	569	2309	a
139.1697	0.09375848209907645	139.2134	1345	678	2184	A
139.4039	0.049776971948915616	139.4226	1404	679	2164	a
139.5674	0.10265510094566821	139.6150	1378	780	2204	A
153.8927	0.05440748019358921	153.9192	1445	588	2291	a
154.0672	0.09404549186180589	154.1146	1369	630	2167	A
154.2862	0.024778015907514828	154.2949	1525	438	2120	y
154.3872	0.062267703728423385	154.4162	1490	577	2192	a
158.1843	0.05867165986882128	158.2101	1398	552	1718	a
158.3472	0.08722665091238468	158.3908	1355	673	2097	A
158.5759	0.024741263581773865	158.5870	1463	415	2136	y
158.6749	0.06987193730822128	158.7082	1391	598	2215	a
163.7770	0.10046165997826506	163.8249	1290	712	2276	A
163.9535	0.044751895368875694	163.9791	1483	492	2302	y
164.1204	0.10129112065703794	164.1653	1319	764	2200	A
164.2993	0.026003079952999997	164.3110	1489	522	2209	y
167.4240	0.10497261629939203	167.4781	1268	668	2250	A
167.5940	0.03966971506056893	167.6165	1550	485	2255	y
167.7538	0.09425120948881727	167.8047	1336	708	2213	A
167.9305	0.03877406656144444	167.9487	1404	474	2174	y
172.1607	0.01455187459370677	172.1676	1558	365	2302	y
172.2594	0.07074562188148548	172.2911	1423	541	2111	a
172.4273	0.08550256192876304	172.4647	1283	580	2364	A
172.6246	0.06332535794075511	172.6542	1438	601	2326	a
175.4573	0.015258291729224993	175.4641	1521	399	2249	y
175.5629	0.04741060659796403	175.5855	1448	524	2042	a
175.7132	0.06326399575473829	175.7457	1298	587	2349	A
175.9012	0.051896833545953314	175.9241	1370	571	2286	a
179.7269	0.0933726736851952	179.7759	1305	667	2112	A
179.9084	0.04101590342543204	179.9292	1303	407	2244	y
180.0355	0.04380807666370856	180.0565	1270	447	2225	y
180.2174	0.10571071411104072	180.2686	1327	706	2340	A
183.3875	0.09151589180629571	183.4303	1302	654	2115	A
183.6086	0.03713413363365703	183.6274	1253	385	2174	y
183.7503	0.036061317726932884	183.7660	1311	476	2218	y
183.9358	0.10986845330617712	183.9836	1266	690	2238	A
187.4039	0.05268654085716662	187.4281	1321	546	2280	a
187.6068	0.08758880848171202	187.6430	1296	697	2307	A
187.8336	0.0971074576548574	187.8765	1312	755	2186	A
188.0623	0.03078723957639795	188.0757	1361	468	2278	y
190.5795	0.06216386719117395	190.6057	1346	529	2271	a
190.7829	0.09045659530170269	190.8254	1289	616	2151	A
191.0038	0.09726785204881594	191.0377	1286	663	2189	A
191.2282	0.03389987617913448	191.2439	1361	449	2183	y
