FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"vedjot;vesti;indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"kh`ochet;khotet';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"poluch`it';poluchit';inf;tran;act;;;;;;;p;inf;"
"reglament`irovannykh;reglamentirovat';partcppast;tran;;pass;;pl;;long;;i;partcp;past"
"osuschestvl`jat';osuschestvljat';inf;tran;act;;;;;;;i;inf;"
"razb`ilsja;razbit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"v`yzhil;vyzhit';indicpast;intr;act;;;sg;m;;;p;indic;past"
"poterp`el;poterpet';indicpast;tran;act;;;sg;m;;;p;indic;past"
"soobsch`il;soobschit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"pog`ib;pogibnut';indicpast;intr;act;;;sg;m;;;p;indic;past"
"poluch`il;poluchit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"otm`etili;otmetit';indicpast;tran;act;;;pl;;;;p;indic;past"
"vypoln`jal;vypolnjat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"up`al;upast';indicpast;intr;act;;;sg;m;;;p;indic;past"
"S`ozdana;sozdat';partcpnonpast;tran;pass;pass;;sg;f;short;;p;partcp;nonpast"
"pristup`ila;pristupit';indicpast;intr;act;;;sg;f;;;p;indic;past"
"rab`otajut;rabotat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"kas`aetsja;kasat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"st`ala;stat';indicpast;intr;act;;;sg;f;;;p;indic;past"
"soobsch`il;soobschit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"prodolzh`aetsja;prodolzhat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"Nap`omnim;napomnit';indicnonpast;tran;act;;1p;pl;;;;p;indic;nonpast"
"prinadlezh`aschim;prinadlezhat';partcpnonpast;intr;act;act;;sg;m;long;;i;partcp;nonpast"
"v`yletel;vyletet';indicpast;intr;act;;;sg;m;;;p;indic;past"
