FormTranslit;LemmaTranslit;MoodTense;Trans;Voice;VoicePartcp;Person;Number;Gender;Long;AspPair;Aspect;Mood;Tense
"resh`ili;reshit';indicpast;tran;act;;;pl;;;;p;indic;past"
"provest`i;provesti;inf;tran;act;;;;;;;p;inf;"
"of`ormili;oformit';indicpast;tran;act;;;pl;;;;p;indic;past"
"podgot`ovili;podgotovit';indicpast;tran;act;;;pl;;;;p;indic;past"
"predst`avleny;predstavit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"provod`il;provodit';indicpast;tran;act;;;sg;m;;;i;indic;past"
"rassuzhd`aet;rassuzhdat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"obsud`il;obsudit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"otv`etil;otvetit';indicpast;intr;act;;;sg;m;;;p;indic;past"
"zafiks`irovano;zafiksirovat';partcpnonpast;tran;pass;pass;;sg;n;short;;p;partcp;nonpast"
"v`ynuzhdeny;vynudit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"soobsch`it';soobschit';inf;tran;act;;;;;;;p;inf;"
"vz`jatykh;vzjat';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"zapreschjonnykh;zapretit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"raspad`aetsja;raspadat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"primen`jala;primenjat';indicpast;tran;act;;;sg;f;;;i;indic;past"
"zajav`ila;zajavit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"razresh`itsja;razreshit'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"b`yli;byt';indicpast;intr;act;;;pl;;;;i;indic;past"
"razglash`at';razglashat';inf;tran;act;;;;;;;i;inf;"
"resh`il;reshit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"podp`ortit';podportit';inf;tran;act;;;;;;;p;inf;"
"Ustr`oili;ustroit';indicpast;tran;act;;;pl;;;;p;indic;past"
"upotrebl`jali;upotrebljat';indicpast;tran;act;;;pl;;;;i;indic;past"
"prinim`ajut;prinimat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"pogovor`il;pogovorit';indicpast;intr;act;;;sg;m;;;p;indic;past"
"nazv`ali;nazvat';indicpast;tran;act;;;pl;;;;p;indic;past"
"proyd`ut;proyti;indicnonpast;tran;act;;3p;pl;;;;p;indic;nonpast"
"v`yzval;vyzvat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"sluch`alos';sluchat'sja;indicpast;intr;med;;;sg;n;;;i;indic;past"
"tvor`it';tvorit';inf;tran;act;;;;;;;i;inf;"
"igr`at';igrat';inf;tran;act;;;;;;;i;inf;"
"sobir`alas';sobirat'sja;indicpast;intr;med;;;sg;f;;;i;indic;past"
"`ekhat';ekhat';inf;intr;act;;;;;;;i;inf;"
"otkaz`alis';otkazat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"vsp`omnit';vspomnit';inf;tran;act;;;;;;;p;inf;"
"spr`avilis';spravit'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"prokhod`ili;prokhodit';indicpast;tran;act;;;pl;;;;i;indic;past"
"v`yigrali;vyigrat';indicpast;tran;act;;;pl;;;;p;indic;past"
"byl`a;byt';indicpast;intr;act;;;sg;f;;;i;indic;past"
"prerv`at'sja;prervat'sja;inf;intr;med;;;;;;;p;inf;"
"sobir`ajas';sobirat'sja;gernonpast;intr;med;;;;;;;i;ger;nonpast"
"attestov`al;attestovat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"priv`ez;privezti;indicpast;tran;act;;;sg;m;;;p;indic;past"
"mog;moch';indicpast;intr;act;;;sg;m;;;i;indic;past"
"pozv`olit';pozvolit';inf;tran;act;;;;;;;p;inf;"
"proigr`at';proigrat';inf;tran;act;;;;;;;p;inf;"
"povtor`jus';povtorit'sja;indicnonpast;intr;med;;1p;sg;;;;p;indic;nonpast"
"proderzh`alsja;proderzhat'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"prin`javshiy;prinjat';partcppast;tran;act;act;;sg;m;long;;p;partcp;past"
"proigr`avshiy;proigrat';partcppast;tran;act;act;;sg;m;long;;p;partcp;past"
"risk`uet;riskovat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"dotjan`ut';dotjanut';inf;tran;act;;;;;;;p;inf;"
"pok`azannyy;pokazat';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"zab`yty;zabyt';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"Zab`ivshiy;zabit';partcppast;tran;act;act;;sg;m;long;;p;partcp;past"
"upom`janutykh;upomjanut';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"otkr`yl;otkryt';indicpast;tran;act;;;sg;m;;;p;indic;past"
"poraz`iv;porazit';gerpast;tran;act;;;;;;;p;ger;past"
"v`ygljadevshiy;vygljadet';partcppast;intr;act;act;;sg;m;long;;i;partcp;past"
"proval`il;provalit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"smog;smoch';indicpast;intr;act;;;sg;m;;;p;indic;past"
"predprin`jat';predprinjat';inf;tran;act;;;;;;;p;inf;"
"st`oivshaja;stoit';partcppast;tran;act;act;;sg;f;long;;i;partcp;past"
"Voyt`i;voyti;inf;intr;act;;;;;;;p;inf;"
"proigr`avshey;proigrat';partcppast;tran;act;act;;sg;f;long;;p;partcp;past"
"sk`azhet;skazat';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"stal;stat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"zaciklivat'sja;zaciklivat'sja;inf;intr;med;;;;;;;i;inf;"
"got`ovit'sja;gotovit'sja;inf;intr;med;;;;;;;i;inf;"
"predst`avit';predstavit';inf;tran;act;;;;;;;p;inf;"
"tvor`itsja;tvorit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"izm`uchennoy;izmuchit';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"nastup`ilo;nastupit';indicpast;intr;act;;;sg;n;;;p;indic;past"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"got`ovitsja;gotovit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"Otm`etit';otmetit';inf;tran;act;;;;;;;p;inf;"
"got`ovitsja;gotovit'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"ozhid`aetsja;ozhidat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"utverd`il;utverdit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"voshl`i;voyti;indicpast;intr;act;;;pl;;;;p;indic;past"
"sv`jazany;svjazat';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"pojasn`il;pojasnit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"rab`otal;rabotat';indicpast;intr;act;;;sg;m;;;i;indic;past"
"v`ydvinul;vydvinut';indicpast;tran;act;;;sg;m;;;p;indic;past"
"dast;dat';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"st`avshie;stat';partcppast;intr;act;act;;pl;;long;;p;partcp;past"
"rug`ajuschie;rugat';partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"dogovor`jatsja;dogovorit'sja;indicnonpast;intr;med;;3p;pl;;;;p;indic;nonpast"
"d`elat';delat';inf;tran;act;;;;;;;i;inf;"
"podcherkn`ul;podcherknut';indicpast;tran;act;;;sg;m;;;p;indic;past"
"otomstjat;otomstit';indicnonpast;tran;act;;3p;pl;;;;p;indic;nonpast"
"pozicionirujuschey;pozicionirovat';partcpnonpast;tran;act;act;;sg;f;long;;i;partcp;nonpast"
"ponim`aet;ponimat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sozdav`at';sozdavat';inf;tran;act;;;;;;;i;inf;"
"nachin`ali;nachinat';indicpast;tran;act;;;pl;;;;i;indic;past"
"rab`otat';rabotat';inf;intr;act;;;;;;;i;inf;"
"zagl`okhli;zaglokhnut';indicpast;intr;act;;;pl;;;;p;indic;past"
"resh`il;reshit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"Zaplan`irovany;zaplanirovat';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"otkr`oetsja;otkryt'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"otkr`yty;otkryt';indicfut;tran;pass;pass;3p;pl;;short;;p;indic;fut"
"skaz`ala;skazat';indicpast;tran;act;;;sg;f;;;p;indic;past"
"poluch`ili;poluchit';indicpast;tran;act;;;pl;;;;p;indic;past"
"pridjotsja;priytis';indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"privlek`at';privlekat';inf;tran;act;;;;;;;i;inf;"
"resh`at';reshat';inf;tran;act;;;;;;;i;inf;"
"zainteres`ovany;zainteresovat';indicpast;tran;pass;pass;;pl;;short;;p;indic;past"
"rab`otat';rabotat';inf;intr;act;;;;;;;i;inf;"
"vydajot;vydavat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"zast`al;zastat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"Okaz`alos';okazat'sja;indicpast;intr;med;;;sg;n;;;p;indic;past"
"soobsch`ili;soobschit';indicpast;tran;act;;;pl;;;;p;indic;past"
"vkljuchen`a;vkljuchit';partcpnonpast;tran;pass;pass;;sg;f;short;;p;partcp;nonpast"
"nam`echennykh;nametit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"rass`ejal;rassejat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vspomin`al;vspominat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"idjot;idti;indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"stal;stat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"igr`at';igrat';indicfut;tran;act;;3p;pl;;;;i;indic;fut"
"poobesch`al;poobeschat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"est';byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"provedjom;provesti;indicnonpast;tran;act;;1p;pl;;;;p;indic;nonpast"
"otstup`aet;otstupat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"sdajotsja;sdavat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"ob''jav`ila;ob''javit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"provel`i;provesti;indicpast;tran;act;;;pl;;;;p;indic;past"
"konkur`irujuschey;konkurirovat';partcpnonpast;intr;act;act;;sg;f;long;;i;partcp;nonpast"
"sosto`itsja;sostojat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"St`anet;stat';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"est';byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"zanim`aetsja;zanimat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"P`amjatuja;pamjatovat';gernonpast;intr;act;;;;;;;i;ger;nonpast"
"otpr`avila;otpravit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"dost`ignuto;dostignut';indicpast;intr;pass;pass;;sg;n;short;;p;indic;past"
"rasskaz`al;rasskazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"predstavl`jaetsja;predstavljat'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"`otd`al;otdat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"skhod`ila;skhodit';indicpast;intr;act;;;sg;f;;;i;indic;past"
"`izgnannyy;izgnat';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"resh`il;reshit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"projavl`jat';projavljat';inf;tran;act;;;;;;;i;inf;"
"konkur`irujuschikh;konkurirovat';partcpnonpast;intr;act;act;;pl;;long;;i;partcp;nonpast"
"govor`ili;govorit';indicpast;tran;act;;;pl;;;;i;indic;past"
"zajav`il;zajavit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"vystup`aet;vystupat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"v`ygljadit;vygljadet';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"provozglas`il;provozglasit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"ignor`iruet;ignorirovat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"namerev`alas';namerevat'sja;indicpast;intr;med;;;sg;f;;;i;indic;past"
"razobr`at'sja;razobrat'sja;inf;intr;med;;;;;;;p;inf;"
"pov`is;povisnut';indicpast;intr;act;;;sg;m;;;p;indic;past"
"soobsch`il;soobschit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"ob''`javleny;ob''javit';indicfut;tran;pass;pass;3p;pl;;short;;p;indic;fut"
"sorevnov`at'sja;sorevnovat'sja;inf;intr;med;;;;;;;i;inf;"
"b`udut;byt';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"Raskaljonnaja;raskalit';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"ot`obrano;otobrat';partcpnonpast;tran;pass;pass;;sg;n;short;;p;partcp;nonpast"
"skhlestn`ulis';skhlestnut'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"pr`injatogo;prinjat';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"utverzhd`ali;utverzhdat';indicpast;intr;act;;;pl;;;;i;indic;past"
"primen`jajut;primenjat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"khot`jat;khotet';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"primen`jat';primenjat';inf;tran;act;;;;;;;i;inf;"
"nast`aivali;nastaivat';indicpast;intr;act;;;pl;;;;i;indic;past"
"m`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"pr`injat;prinjat';partcpnonpast;tran;pass;pass;;sg;m;short;;p;partcp;nonpast"
"obrechjon;obrech';partcpnonpast;tran;pass;pass;;sg;m;short;;p;partcp;nonpast"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"obraschjonnom;obratit';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"razrug`alis';razrugat'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"Proiskhod`ilo;proiskhodit';indicpast;intr;act;;;sg;n;;;i;indic;past"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"pogas`it';pogasit';inf;tran;act;;;;;;;p;inf;"
"upust`il;upustit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"v`yskazat';vyskazat';inf;tran;act;;;;;;;p;inf;"
"zab`udem;zabyt';imper;tran;act;;1p;pl;;;;p;imper;"
"perest`anem;perestat';imper;intr;act;;1p;pl;;;;p;imper;"
"protivosto`jat';protivostojat';inf;intr;act;;;;;;;i;inf;"
"Riskn`u;risknut';indicnonpast;intr;act;;1p;sg;;;;p;indic;nonpast"
"predpolozh`it';predpolozhit';inf;tran;act;;;;;;;p;inf;"
"prevrat`ilsja;prevratit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"Vzgl`janem;vzgljanut';imper;intr;act;;1p;pl;;;;p;imper;"
"vyv`odit;vyvodit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"pogul`jat';poguljat';inf;intr;act;;;;;;;p;inf;"
"otkr`ytuju;otkryt';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"ulet`uchitsja;uletuchit'sja;indicnonpast;intr;med;;3p;sg;;;;p;indic;nonpast"
"pot`janet;potjanut';indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"sostavl`jaet;sostavljat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"voyd`ut;voyti;indicnonpast;intr;act;;3p;pl;;;;p;indic;nonpast"
"prekraschjonnykh;prekratit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"M`ozhet;moch';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"byt';byt';inf;intr;act;;;;;;;i;inf;"
"st`oit;stoit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"razobr`at'sja;razobrat'sja;inf;intr;med;;;;;;;p;inf;"
"ubiv`ajut;ubivat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"zn`ajut;znat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"ub`ila;ubit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"ber`utsja;brat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"predsta`jut;predstavat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"soversh`ajuschie;sovershat';partcpnonpast;tran;act;act;;pl;;long;;i;partcp;nonpast"
"Skazh`ite;skazat';imper;tran;act;;2p;pl;;;;p;imper;"
"vyzyv`aet;vyzyvat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"zhgut;zhech';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"id`uschie;idti;partcpnonpast;intr;act;act;;pl;;long;;i;partcp;nonpast"
"d`elat';delat';inf;tran;act;;;;;;;i;inf;"
"Skaz`at';skazat';inf;tran;act;;;;;;;p;inf;"
"skaz`al;skazat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"iz''`jal;iz''jat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"otsn`jatym;otsnjat';partcppast;tran;;pass;;sg;m;long;;p;partcp;past"
"nasnim`ali;nasnimat';indicpast;tran;act;;;pl;;;;p;indic;past"
"sootv`etstvuet;sootvetstvovat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"osvobozhd`ajutsja;osvobozhdat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"osuzhdjonnye;osudit';partcppast;tran;;pass;;pl;;long;;p;partcp;past"
"pojavl`jaetsja;pojavljat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"otkr`ytoy;otkryt';partcppast;tran;;pass;;sg;f;long;;p;partcp;past"
"rekomend`uet;rekomendovat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"ob''jav`it';ob''javit';inf;tran;act;;;;;;;p;inf;"
"perevest`i;perevesti;inf;tran;act;;;;;;;p;inf;"
"zapust`it';zapustit';inf;tran;act;;;;;;;p;inf;"
"napech`atavshaja;napechatat';partcppast;tran;act;act;;sg;f;long;;p;partcp;past"
"dal`a;dat';indicpast;tran;act;;;sg;f;;;p;indic;past"
"pech`ataet;pechatat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"idjot;idti;indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"nazyv`ali;nazyvat';indicpast;tran;act;;;pl;;;;i;indic;past"
"velich`ali;velichat';indicpast;tran;act;;;pl;;;;i;indic;past"
"Byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"prokhod`il;prokhodit';indicpast;tran;act;;;sg;m;;;i;indic;past"
"osterven`evshey;ostervenet';partcppast;intr;act;act;;sg;f;long;;p;partcp;past"
"bor`ot'sja;borot'sja;inf;intr;med;;;;;;;i;inf;"
"bor`ot'sja;borot'sja;inf;intr;med;;;;;;;i;inf;"
"zabyv`aja;zabyvat';gernonpast;tran;act;;;;;;;i;ger;nonpast"
"proiskh`odjat;proiskhodit';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"prizn`at';priznat';inf;tran;act;;;;;;;p;inf;"
"`ischem;iskat';indicnonpast;tran;act;;1p;pl;;;;i;indic;nonpast"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"vzval`it';vzvalit';inf;tran;act;;;;;;;p;inf;"
"d`elaem;delat';indicnonpast;tran;act;;1p;pl;;;;i;indic;nonpast"
"Proydjot;proyti;indicnonpast;tran;act;;3p;sg;;;;p;indic;nonpast"
"prozvuch`it;prozvuchat';indicnonpast;intr;act;;3p;sg;;;;p;indic;nonpast"
"zam`erz;zamerznut';indicpast;intr;act;;;sg;m;;;p;indic;past"
"ott`ajal;ottajat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"`umer;umeret';indicpast;intr;act;;;sg;m;;;p;indic;past"
"`umer;umeret';indicpast;intr;act;;;sg;m;;;p;indic;past"
"ost`yl;ostyt';indicpast;intr;act;;;sg;m;;;p;indic;past"
"Pok`onchil;pokonchit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"poter`jaju;poterjat';indicnonpast;tran;act;;1p;sg;;;;p;indic;nonpast"
"pok`onchu;pokonchit';indicnonpast;tran;act;;1p;sg;;;;p;indic;nonpast"
"bo`jalsja;bojat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"poter`jat';poterjat';inf;tran;act;;;;;;;p;inf;"
"opas`alsja;opasat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"poter`jat';poterjat';inf;tran;act;;;;;;;p;inf;"
"vyrazh`aetsja;vyrazhat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"perech`isleny;perechislit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"Uzn`av;uznat';gerpast;tran;act;;;;;;;p;ger;past"
"opust`ilsja;opustit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"pok`onchil;pokonchit';indicpast;tran;act;;;sg;m;;;p;indic;past"
"proizoshl`o;proizoyti;indicpast;intr;act;;;sg;n;;;p;indic;past"
"nashl`i;nayti;indicpast;tran;act;;;pl;;;;p;indic;past"
"zastrel`ivshimsja;zastrelit'sja;partcppast;intr;med;act;;sg;m;long;;p;partcp;past"
"sosto`javshaja;sostojat';partcppast;intr;act;act;;sg;f;long;;i;partcp;past"
"osirot`ela;osirotet';indicpast;intr;act;;;sg;f;;;p;indic;past"
"Ost`alas';ostat'sja;indicpast;intr;med;;;sg;f;;;p;indic;past"
"byl;byt';indicpast;intr;act;;;sg;m;;;i;indic;past"
"rasprostranjonnomu;rasprostranit';partcppast;tran;;pass;;sg;n;long;;p;partcp;past"
"nakh`odjatsja;nakhodit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"raspol`ozheny;raspolozhit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"`ezdjat;ezdit';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"po`est';poest';inf;tran;act;;;;;;;p;inf;"
"`uchatsja;uchit'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"stazhir`ujutsja;stazhirovat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"stal;stat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"dov`erili;doverit';indicpast;tran;act;;;pl;;;;p;indic;past"
"nakhod`ivshimsja;nakhodit'sja;partcppast;intr;med;act;;sg;m;long;;i;partcp;past"
"vern`ul;vernut';indicpast;tran;act;;;sg;m;;;p;indic;past"
"dob`ilsja;dobit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"prisv`oen;prisvoit';indicpast;tran;pass;pass;;sg;m;short;;p;indic;past"
"perech`isleny;perechislit';partcpnonpast;tran;pass;pass;;pl;;short;;p;partcp;nonpast"
"udost`aivaetsja;udostaivat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"b`ylo;byt';indicpast;intr;act;;;sg;n;;;i;indic;past"
"stat';stat';inf;intr;act;;;;;;;p;inf;"
"mecht`ajut;mechtat';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"stat';stat';inf;intr;act;;;;;;;p;inf;"
"govor`il;govorit';indicpast;tran;act;;;sg;m;;;i;indic;past"
"vykup`aet;vykupat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"rasshir`jaet;rasshirjat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"stal;stat';indicpast;intr;act;;;sg;m;;;p;indic;past"
"nazyv`ajutsja;nazyvat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"privn`osit;privnosit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"nachin`aet;nachinat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"torgov`at';torgovat';inf;tran;act;;;;;;;i;inf;"
"kommercializiruet;kommercializirovat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"dobavl`jajutsja;dobavljat'sja;indicnonpast;intr;med;;3p;pl;;;;i;indic;nonpast"
"torg`ujut;torgovat';indicnonpast;tran;act;;3p;pl;;;;i;indic;nonpast"
"vykh`odjat;vykhodit';indicnonpast;intr;act;;3p;pl;;;;i;indic;nonpast"
"vyv`odit;vyvodit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"nakop`ilis';nakopit'sja;indicpast;intr;med;;;pl;;;;p;indic;past"
"pozv`olila;pozvolit';indicpast;tran;act;;;sg;f;;;p;indic;past"
"akkumul`irovat';akkumulirovat';inf;tran;act;;;;;;;p;inf;"
"dost`ig;dostignut';indicpast;intr;act;;;sg;m;;;p;indic;past"
"rasshir`jalsja;rasshirjat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"n`achal;nachat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"obor`udovat';oborudovat';inf;tran;act;;;;;;;i;inf;"
"shli;idti;indicpast;intr;act;;;pl;;;;i;indic;past"
"got`ovlju;gotovit';indicnonpast;tran;act;;1p;sg;;;;i;indic;nonpast"
"priznav`alsja;priznavat'sja;indicpast;intr;med;;;sg;m;;;i;indic;past"
"prishl`a;priyti;indicpast;intr;act;;;sg;f;;;p;indic;past"
"zhdal;zhdat';indicpast;tran;act;;;sg;m;;;i;indic;past"
"skat`ilsja;skatit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"v`yderzhal;vyderzhat';indicpast;tran;act;;;sg;m;;;p;indic;past"
"byl`a;byt';indicpast;intr;act;;;sg;f;;;i;indic;past"
"ub`ilo;ubit';indicpast;tran;act;;;sg;n;;;p;indic;past"
"oznach`aet;oznachat';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"sum`el;sumet';indicpast;intr;act;;;sg;m;;;p;indic;past"
"vskar`abkat'sja;vskarabkat'sja;inf;intr;med;;;;;;;p;inf;"
"smog;smoch';indicpast;intr;act;;;sg;m;;;p;indic;past"
"perezh`it';perezhit';inf;tran;act;;;;;;;p;inf;"
"idjot;idti;indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"otpr`avit'sja;otpravit'sja;inf;intr;med;;;;;;;p;inf;"
"obrat`ilsja;obratit'sja;indicpast;intr;med;;;sg;m;;;p;indic;past"
"uch`astvovat';uchastvovat';inf;intr;act;;;;;;;i;inf;"
"b`udet;byt';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"zanim`at'sja;zanimat'sja;inf;intr;med;;;;;;;i;inf;"
"d`ali;dat';indicpast;tran;act;;;pl;;;;p;indic;past"
"baz`iruetsja;bazirovat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
"sl`uzhit;sluzhit';indicnonpast;tran;act;;3p;sg;;;;i;indic;nonpast"
"pogl`jadyvaet;pogljadyvat';indicnonpast;intr;act;;3p;sg;;;;i;indic;nonpast"
"znat';znat';inf;tran;act;;;;;;;i;inf;"
"zanim`aetsja;zanimat'sja;indicnonpast;intr;med;;3p;sg;;;;i;indic;nonpast"
