genre;register;date_of_creation;head_pos;root;preposition;example;comment
nonfiction;written;after 1950;N;говор;о/об;Разговоры о синхронном вступлении в ряды ВТО Россия, Украина и Казахстан ведут постоянно
nonfiction;written;after 1950;N;говор;о/об;от умозрительных разговоров о социальной эволюции
nonfiction;written;after 1950;N;говор;о/об;Разговоры о том, стоит ли вводить в законодательном порядке понятие
nonfiction;written;after 1950;N;говор;о/об;повод для разговора о ситуации в стране
nonfiction;written;after 1950;N;говор;о/об;только и было разговоров, что о системе
nonfiction;written;after 1950;N;говор;о/об;"такое мнение разговорами об ""экспертном сообществе"""
nonfiction;written;after 1950;N;говор;о/об;"пошли разговоры о том, что вы подумываете вступить в партию ""Единая Россия""."
nonfiction;written;after 1950;N;говор;о/об;откровенного разговора о произволе российской бюрократии
nonfiction;written;after 1950;N;говор;про;все разговоры про смену Касьянова
nonfiction;written;after 1950;N;говор;о/об;"Опять идёт разговор о том, что ""нужно регулировать информационные потоки"""
nonfiction;written;after 1950;N;говор;о/об;настырные разговоры о ренте ? миф
nonfiction;written;after 1950;N;говор;о/об;дала повод для серьёзного разговора № о работе фирм
nonfiction;written;after 1950;N;говор;о/об;и разговорами за столом о будущих каникулах в Италии
nonfiction;written;after 1950;N;говор;о/об;с животрепещущего разговора о текущем состоянии экономики
nonfiction;written;after 1950;N;говор;о/об;а не успокаивать себя разговорами о необходимости улучшения
nonfiction;written;after 1950;N;говор;о/об;В далеком Брунее под разговоры о том, что местная нефть того и гляди закончится
nonfiction;written;after 1950;N;говор;о/об;Разговоры о большой войне
nonfiction;written;after 1950;N;говор;о/об;а все разговоры о его сокращении расценивались как
nonfiction;written;after 1950;N;говор;о/об;Но как только разговор заходит о семейном обучении
nonfiction;written;after 1950;N;говор;о/об;А мы возвращаемся к разговору о клиентах
nonfiction;written;after 1950;N;говор;о/об;Здесь нужен отдельный долгий разговор о смысле литургического поминовения как такового
nonfiction;written;after 1950;N;говор;о/об;Кстати, к разговору о смысле молитвы
nonfiction;written;after 1950;N;говор;о/об;Применительно к разговору о всяких сложностях, о том, что неприемлемо для вас в православии
nonfiction;written;after 1950;N;говор;о/об;За последние тридцать лет было немало разговоров о необходимости реформ
nonfiction;written;after 1950;N;говор;о/об;Сегодня разговоры о смутных инфляционных ожиданиях
fiction;written;before 1950;V;говор;о/об;ходили тревожные слухи, говорили об облавах
fiction;written;before 1950;V;говор;о/об;Мне нечего, конечно, вам говорить о том, что это было чистое
fiction;written;before 1950;V;говор;о/об;Он сам улыбается, когда при нём говорят об этом
fiction;written;before 1950;V;говор;о/об;Вы говорите Бог знает о чём
fiction;written;before 1950;V;говор;о/об;можете говорить чёрт знает о чём
fiction;written;before 1950;V;говор;о/об;Рудольф Вирхов говорил о пользе стерилизации
fiction;written;before 1950;V;говор;о/об;Стоит ли им говорить об истории и судьбах мира
fiction;written;before 1950;V;говор;о/об;будем говорить о вопросах палеантропологии
fiction;written;before 1950;V;говор;о/об;Вот вы не хотите говорить об этом вашем физическом недостатке
fiction;written;before 1950;V;говор;о/об;должны позволить обсуждать и говорить о нём
fiction;written;before 1950;V;говор;про;Потом стали говорить между собой про эти цифры
fiction;written;before 1950;V;говор;о/об;Даже я не говорю о вас так
fiction;written;before 1950;V;говор;о/об;Гарднер говорил о каких-то грузовиках
