marker;text;no;translation;stem;rtense;actionality;matrix_tense;nominalization;postposition;corpus
al;Текст 6-15;1;говорить;ukː;NA;stat;perf;0;0;oral
al;Текст 6-19;29;говорить;ukː;npst;dyn;pot;1;0;oral
al;Текст 6-19;31;говорить;ukː;npst;dyn;term;0;0;oral
al;Текст 6-19;39;говорить;ukː;npst;dyn;prs;0;0;oral
al;Текст 6-19;39;говорить;ukː;npst;dyn;prs;0;0;oral
al;Текст 6-19;57;говорить;ukː;npst;dyn;prs;0;0;oral
i;Текст 6-16;24;пить;uʁI;pst;dyn;prs;1;oša;oral
i;Текст 6-18-1;34;пить;uʁI;pst;dyn;prs;1;oša;oral
i;Текст 6-18-4;NA;пить;uʁI;pst;dyn;prs;1;oša;oral
i;Текст 6-18-4;NA;пить;uʁI;pst;dyn;prs;1;oša;oral
al;Текст 6-11;11;верить;veI;npst;dyn;prs;0;0;oral
i;Текст 4;5;тянуть;zap;pst;dyn;nvp;0;0;oral
i;Текст 6-19;52;тянуть;zap;pst;dyn;hort;1;0;oral
i;Текст 6-03;9;кипеть;žIal;pst;dyn;prs;1;oša;oral
i;Текст 6-14;22;кипятить;žIal;pst;dyn;prs;1;oša;oral
al;Текст 6-18-3;56;тащить;χor;npst;dyn;nvp;1;0;oral
al;хаха;8;уносить;taš;NA;dyn;aor;0;0;written
al;хаха;10;играть;far;pst;dyn;aor;1;0;written
al;ПотерТел;18;брать;haqː;npst;dyn;nvp;1;0;written
i;Гьекаьл;19;собирать;gir;pst;dyn;nvp;0;0;written
i;Гьекаьл;19;складывать;top;pst;dyn;nvp;0;0;written
al;Гьекаьл;20;разговаривать;äjit;npst;dyn;aor;0;0;written
i;Гьекаьл;24;класть.сверху;laχ;pst;dyn;imp;0;oša;written
i;Гьекаьл;36;учиться;kːal;pst;dyn;perf;1;0;written
al;СопинБур;1;есть;uk;npst;stat;prs;1;0;written
al;СопинБур;17;резать;šIam;pst;dyn;perf;0;0;written
al;СопинБур;22;держать;ef;npst;stat;nvp;0;0;written
al;СопинБур;22;продавать;toj;npst;dyn;nvp;0;0;written
al;СопинБур;24;есть;uk;npst;dyn;nvp;1;0;written
al;СопинБур;37;варить;buχ;npst;dyn;nvp;0;0;written
al;СопинБур;41;насыщаться;boš;npst;stat;nvp;0;0;written
al;СопинБур;62;приходить;eʁ;pst;dyn;pst;1;0;written
al;СопинБур;77;уходить;taʁ;npst;dyn;pst;1;0;written
al;СопинБур;125;быть;bak;pst;stat;perf;1;0;written
al;СопинБур;147;быть;bak;npst;dyn;aor;1;0;written
al;СопинБур;152;быть;bak;npst;stat;aor;1;0;written
al;Соседи;5;быть;bak;npst;stat;aor;1;0;written
al;Соседи;8;быть;bak;pst;stat;pst;0;0;written
al;Соседи;15;давать;tad;npst;stat;pst;1;0;written
i;хаха;7;писать;cam;pst;dyn;aor;0;0;written
i;хаха;11;писать;cam;pst;dyn;aor;0;0;written
i;ПотерТел;20;хотеть;čur;npst;stat;nvp;0;0;written
al;Гьекаьл;38;быть;bak;npst;stat;perf;0;0;written
i;Гьекаьл;54;учиться;kːal;pst;dyn;nvp;0;0;written
al;Гьекаьл;57;говорить;ukː;pst;dyn;nvp;1;0;written
i;Гьекаьл;61;пахать;ez;pst;dyn;aor;1;oša;written
al;Гьекаьл;89;говорить;ukː;pst;dyn;pst;1;0;written
al;Гьекаьл;90;говорить;ukː;pst;dyn;pst;0;0;written
i;Гьекаьл;95;отрывать;čuk;pst;dyn;aor;0;0;written
i;СопинБур;31;быть.знакомым;čalχ;npst;stat;nvp;0;0;written
i;СопинБур;32;приходить;har;pst;dyn;subj;1;0;written
i;СопинБур;40;находить;baI;pst;dyn;fut;0;0;written
i;СопинБур;47;садиться;arc;pst;dyn;pst;0;0;written
i;СопинБур;54;оставаться;mand;npst;stat;imp;0;0;written
i;СопинБур;59;поспевать;apː;pst;stat;pst;0;0;written
i;СопинБур;144;роптать;tːotːo;pst;dyn;aor;1;oša;written
i;СопинБур;144;быть;bak;pst;stat;perf;1;0;written
i;СопинБур;150;быть;bak;pst;stat;aor;1;0;written
i;Соседи;6;работать;äš;pst;dyn;aor;0;0;written
i;Соседи;10;посылать;jaqːa;pst;dyn;aor;0;0;written
i;Соседи;12;садиться;arc;npst;NA;pst;0;0;written
i;Соседи;17;давать;tad;pst;dyn;perf;0;0;written
i;Соседи;24;вынимать;čːevkː;pst;dyn;pst;0;0;written
i;Соседи;17;основываться;düz;pst;dyn;perf;0;0;written
i;Соседи;83;трясти;žIiIkː;pst;dyn;aor;1;0;written
i;ПослеСоседей;1;достигать;pːapː;pst;dyn;pst;1;oša;written
i;ПослеСоседей;4;давать;tad;pst;dyn;pst;1;oša;written
i;ПослеСоседей;10;бить;duʁ;pst;dyn;perf;1;oša;written
i;ПослеСоседей;34;брать;haqː;pst;dyn;aor;0;0;written
i;ПослеСоседей;36;поспевать;apː;pst;NA;aor;0;0;written
i;ПослеСоседей;45;брать;haqː;pst;dyn;aor;1;0;written
i;ПослеСоседей;51;класть.сверху;laχ;pst;dyn;aor;0;0;written
i;ПослеСоседей;57;брать;haqː;pst;dyn;aor;0;0;written
i;ПослеСоседей;64;брать;eIχtː;pst;dyn;aor;0;0;written
i;ПослеСоседей;73;брать;eχtː;pst;dyn;aor;0;0;written
al;Соседи;29;быть;bak;NA;stat;nvp;0;0;written
al;Соседи;33;рассыпаться;bar;pst;dyn;pst;0;0;written
al;Соседи;51;давать;tad;npst;stat;pst;0;0;written
al;Соседи;74;бросать;bos;pst;dyn;perf;0;0;written
al;ПослеСоседей;13;уходить;taʁ;npst;dyn;prs;0;0;written
al;ПослеСоседей;27;говорить;ukː;pst;dyn;aor;0;0;written
al;ПослеСоседей;66;приходить;eʁ;pst;dyn;aor;1;0;written
