variant;region;gender;age;birth_year;position;yat_hard;yat_soft;vocalism;g;ts;ch;variant_num;region_num;gender_num;yat_hard_num;yat_soft_num;vocalism_num;g_num;ch_num
што;Тамбов;ж;83;1924;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
што;Тверь;ж;32;1979;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;8;1;0;0;0;0;0
што;Волгоград;ж;76;1918;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;76;1920;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;76;1920;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;73;1920;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Тамбов;ж;79;1928;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
чё;Тамбов;ж;90;1912;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;82;1919;pron;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;1;0;0;0
чё;Волгоград;ж;69;1880;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;1;0;0;0;0;1
чё;Волгоград;ж;69;1880;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;1;0;0;0;0;1
чё;Волгоград;ж;83;1910;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Волгоград;ж;74;1931;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];1;2;1;0;0;0;0;1
чё;Волгоград;ж;87;1905;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Тамбов;ж;62;1940;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Волгоград;ж;77;1929;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;2;1;0;0;0;0;0
чё;Тамбов;ж;91;1913;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;65;1938;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;64;1940;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;94;1908;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;ж;69;1935;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;1;0;0;0;0;0
чё;Тамбов;м;72;1931;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;7;0;0;0;0;0;0
чё;Тверь;ж;79;1932;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;8;1;0;0;0;0;0
чё;Самара;ж;77;1927;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;1;5;1;0;0;0;0;0
шо;Забайкалье;ж;75;1927;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;2;3;1;0;0;0;0;0
шо;Тверь;ж;89;1922;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;2;8;1;0;0;0;0;0
што;Тамбов;ж;82;1919;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;7;1;0;0;0;0;0
што;Волгоград;ж;75;1916;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;75;1916;pron;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Волгоград;ж;74;1931;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;м;91;1909;conj;не [и];непоследовательно [и];аканье сильное;щелевой;[ц] твёрд.;утрата затвора [ш];3;2;0;0;1;0;0;1
што;Волгоград;ж;79;1870;conj;не [и];не [и];аканье сильное;щелевой;утрата затвора [с];утрата затвора [ш];3;2;1;0;0;0;0;1
што;Волгоград;ж;71;1923;pron;не [и];не [и];аканье сильное;щелевой;утрата затвора [с];утрата затвора [ш];3;2;1;0;0;0;0;1
што;Самара;ж;77;1927;part;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;5;1;0;0;0;0;0
што;Самара;ж;77;1927;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;5;1;0;0;0;0;0
што;Волгоград;ж;82;1924;conj;не [и];не [и];аканье сильное;щелевой;[ц] твёрд.;[ч'] мягкий;3;2;1;0;0;0;0;0
што;Ставрополь;ж;63;1945;conj;не [и];не [и];оканье полное;щелевой;[ц] твёрд.;утрата затвора [ш];3;6;1;0;0;1;0;1
што;Ставрополь;ж;63;1945;pron;не [и];не [и];оканье полное;щелевой;[ц] твёрд.;утрата затвора [ш];3;6;1;0;0;1;0;1
